time,aso_mean_bins_mm,AGP,DAN,DDM,DPO,FLV,GEM,GIN,GNL,GRM,HRS,KIB,LLE,LMS,MHP,PDS,REL,SLI,SMW,SPA,TNY,TUM,VLR,WHW
2013-04-03,404.8904615427965,448.30999999999995,472.44000000000005,606.552,,,477.26599999999996,292.608,856.4879999999999,350.774,1130.808,31.495999999999995,1247.1399999999999,0.0,0.0,754.634,612.9019999999999,,287.02,480.05999999999995,330.2,214.37599999999998,284.47999999999996,396.24
2013-04-29,232.8797441102865,83.82,177.79999999999998,377.952,,,355.09200000000004,0.0,478.53599999999994,0.0,713.9939999999999,0.0,1087.12,0.0,0.0,288.544,242.57000000000002,,12.7,269.23999999999995,145.288,0.0,205.73999999999998,0.0
2013-05-03,195.39577326947395,62.230000000000004,76.19999999999999,304.79999999999995,,,314.452,0.0,286.512,0.0,575.31,0.0,1023.62,0.0,0.0,145.288,115.57,,0.0,182.88,75.184,0.0,147.31999999999996,0.0
2013-05-25,77.002247221581,0.0,0.0,0.0,,,112.52199999999998,0.0,0.0,0.0,0.0,0.0,657.8599999999999,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,58.08974454116306,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,459.74,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-08,31.26572755629767,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,160.01999999999998,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-23,216.08627990237164,269.23999999999995,347.97999999999996,360.67999999999995,,,181.60999999999999,13.207999999999998,406.4,161.798,510.54,0.0,584.1999999999999,0.0,345.43999999999994,447.04,317.75399999999996,,228.6,259.08,,183.89600000000002,180.33999999999997,190.5
2014-04-07,231.81634519195342,311.658,363.21999999999997,509.0159999999999,,,249.428,86.35999999999999,554.736,161.798,647.6999999999999,59.69,716.28,5.08,418.59200000000004,549.4019999999999,392.684,,251.46,335.28,,,210.82,259.08
2014-04-13,185.1012340723646,268.73199999999997,332.73999999999995,481.584,,,238.252,4.064,530.352,64.26199999999999,592.582,2.794,698.5,0.0,385.06399999999996,467.35999999999996,321.818,,193.04,299.71999999999997,,,195.58,187.95999999999998
2014-04-20,151.07576900437783,187.198,251.46,387.096,,,192.278,0.0,432.816,0.0,450.34200000000004,0.0,627.3799999999999,0.0,327.152,323.84999999999997,188.214,,73.65999999999998,223.52,,,157.48000000000002,12.7
2014-04-28,163.49678617775163,110.23599999999999,236.22000000000003,423.67199999999997,,,197.35799999999998,40.64,423.67199999999997,24.637999999999998,476.758,28.955999999999996,640.0799999999999,0.0,345.43999999999994,303.784,175.006,,15.239999999999998,220.98,,,139.7,38.099999999999994
2014-05-02,123.01207544754979,63.75399999999999,198.12,347.472,,,167.64,0.0,377.952,0.0,388.11199999999997,0.0,619.76,0.0,321.056,234.18800000000002,118.87199999999999,,0.0,147.31999999999996,,,124.46000000000001,0.0
2014-05-11,106.21837184251153,0.0,124.46000000000001,246.888,,,101.85399999999998,0.0,249.93599999999998,0.0,214.12199999999999,0.0,502.92,0.0,244.85600000000002,56.388,0.0,,0.0,17.779999999999998,,,35.559999999999995,0.0
2014-05-17,72.64907681737137,0.0,0.0,85.344,,,32.004,0.0,54.864000000000004,0.0,32.766,0.0,365.76,0.0,65.024,0.0,0.0,,0.0,0.0,,,0.0,0.0
2014-05-27,48.18935430699073,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,215.89999999999998,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0
2014-05-31,33.41586490312445,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,83.82,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0
2014-06-05,21.235636540943112,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0
2015-02-17,87.73810042059169,227.584,195.58,238.76,,,130.048,0.0,326.13599999999997,64.008,320.03999999999996,11.684,622.3,0.0,178.816,31.75,207.772,414.274,195.58,185.42,,51.816,91.44,
2015-03-05,117.27053126488407,228.09199999999998,215.89999999999998,229.61599999999996,,,311.40399999999994,0.0,307.84799999999996,39.624,233.67999999999998,31.241999999999997,657.8599999999999,0.0,178.816,32.512,161.03599999999997,427.4819999999999,215.89999999999998,208.27999999999997,,3.048,109.22,
2015-03-25,77.12692252089184,86.35999999999999,152.39999999999998,165.60799999999998,,,306.57800000000003,0.0,167.64,24.384,219.202,10.921999999999999,637.54,0.0,78.232,0.0,4.064,,93.97999999999999,114.3,,21.336,93.97999999999999,
2015-04-03,59.49409592433776,62.483999999999995,50.8,95.50399999999999,,,295.656,0.0,3.048,18.288,119.63399999999999,5.334,591.82,0.0,11.176,0.0,1.524,,0.0,81.28,,18.288,45.72,
2015-04-09,114.5209868212449,84.32799999999999,66.04,116.83999999999999,,,291.59200000000004,42.672,54.864000000000004,24.384,173.98999999999998,46.228,693.4200000000001,17.779999999999998,41.656,66.294,50.038,,17.779999999999998,116.83999999999999,,39.624,55.88,
2015-04-15,83.03040852202241,55.117999999999995,25.4,93.97999999999999,,,270.256,6.096,21.336,21.336,123.69800000000001,14.732,695.9599999999999,0.0,20.32,3.556,3.8099999999999996,,0.0,96.52,,24.384,50.8,
2015-04-27,92.8953120879762,34.29,27.94,37.592,,,270.764,18.288,27.686000000000003,6.096,53.593999999999994,25.654,635.0,0.0,24.384,25.4,30.988,,10.16,17.779999999999998,,0.0,12.7,
2015-05-01,44.66648267149122,7.619999999999999,2.54,5.08,,,225.04399999999995,0.0,0.0,0.0,0.0,0.0,543.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
2015-05-28,44.82665135135235,10.16,0.0,0.0,,,,0.0,0.0,,0.0,3.048,322.58,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
2015-06-08,14.731708133346011,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
2016-03-26,715.6294980589001,547.116,642.62,812.8,298.45,,425.704,530.352,1057.656,566.928,1213.866,146.812,1399.54,7.619999999999999,890.016,1105.408,401.32,1051.306,513.0799999999999,566.4200000000001,,,403.86,
2016-04-01,618.0717789138126,572.516,655.32,828.04,263.906,,423.418,530.352,1088.136,542.5439999999999,1220.9779999999998,92.71,1424.9399999999998,0.0,893.0639999999999,1096.772,360.67999999999995,1016.762,518.16,576.5799999999999,,,411.47999999999996,
2016-04-07,565.1530491911853,472.44000000000005,668.02,788.4159999999999,166.11599999999999,,379.984,481.584,1018.0319999999998,441.96,1115.568,27.94,1412.24,0.0,877.8240000000001,982.7259999999999,341.12199999999996,,434.34000000000003,558.8,,,396.24,
2016-04-16,539.8349426989688,297.17999999999995,657.8599999999999,785.368,84.836,,405.638,326.13599999999997,1002.7919999999999,316.992,1084.5800000000002,0.0,1417.32,0.0,847.3439999999999,906.2719999999999,298.196,1046.48,408.94,530.8599999999999,,,393.7,
2016-04-26,568.5434855295779,289.306,551.18,767.0799999999999,0.0,,405.892,179.832,987.552,146.304,1030.9859999999999,0.0,1417.32,0.0,780.288,800.0999999999999,240.792,701.04,345.43999999999994,490.21999999999997,,,353.06,
2016-05-09,502.5209785313565,303.53,477.52,760.984,0.0,,407.924,0.0,914.4,0.0,949.9599999999999,0.0,1435.1000000000001,0.0,758.952,600.456,162.052,983.7419999999998,358.14,457.2,,,378.46000000000004,
2016-05-27,284.8895138325944,0.0,116.83999999999999,511.04800000000006,0.0,,241.29999999999998,0.0,571.5,0.0,529.082,0.0,1198.8799999999999,0.0,359.664,127.25399999999998,41.91,,33.02,93.97999999999999,,,101.6,
2016-06-07,163.55678692934984,0.0,0.0,187.95999999999998,0.0,,28.448,0.0,195.072,0.0,124.96799999999999,0.0,916.9399999999999,0.0,64.008,0.0,0.0,,0.0,0.0,,,0.0,
2016-06-13,116.88592527037608,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,673.0999999999999,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2016-06-20,79.69796231779551,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,457.2,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2016-07-08,14.508632378901321,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,
2017-01-29,864.6544383104834,1054.862,867.6639999999999,883.92,945.3879999999999,,648.97,,1136.904,969.2639999999999,1346.1999999999998,554.736,1562.1000000000001,398.78,1091.184,1088.3899999999999,362.712,1138.174,637.54,721.3599999999999,1051.306,736.092,541.02,843.28
