time,aso_mean_bins_mm,BCB,BGP,BSH,CHM,DAN,DPO,GEM,GRM,GRV,HNT,KSP,KUB,KUP,LLE,MHP,PSR,RCK,SLK,STL,STR,SWM,TMR,TNY,TUM,UBC,VLC,WWC
2017-01-29,544.5812777040394,1688.0839999999996,570.992,623.316,819.9119999999999,867.6639999999999,945.388,648.97,969.264,619.9348483064767,563.8799999999999,1152.1439999999998,863.9244178716842,602.4949867318999,1562.1,1091.184,746.76,1128.014,585.216,970.28,974.8821117411188,584.962,710.1840000000001,1051.306,736.092,1122.934,992.378,1112.52
2017-03-09,844.9927911361384,2393.95,1071.372,887.73,1261.8719999999998,1248.6639999999998,964.946,1052.068,1438.656,1098.0547656481356,853.4399999999999,1727.1999999999998,1496.1903911140269,883.7283574526208,2547.62,1664.208,1088.136,1653.794,883.92,1533.398,1648.232755263285,848.8679999999999,1255.7759999999998,1667.51,1143.0,1411.986,1414.018,1631.188
2017-04-02,770.5178933660565,2409.4439999999995,1116.584,901.192,1197.8639999999998,1200.4039999999998,737.362,1122.172,1402.08,977.6067082761033,743.712,1734.312,1536.6554879150424,696.615586672541,2720.34,1786.1279999999997,819.9119999999999,1689.6079999999995,859.5360000000001,1639.062,1684.6013264412134,824.9919999999998,1115.568,1659.3819999999998,1094.232,1407.16,1413.5099999999998,1613.154
2017-04-30,826.4941846113117,2266.946170494339,1060.958,825.5,1036.32,1244.6,515.112,1234.44,1239.52,648.7087718439219,390.144,1755.648,1467.5289884142137,374.85025975876044,3086.1,2039.112,347.472,1264.158,798.5759999999999,1772.6660000000002,1604.8466801319926,881.634,765.048,1471.93,1024.128,1625.6,1447.2919999999997,1526.794
2017-06-06,416.8563987163572,862.3957119944923,34.798,0.0,6.096,705.104,0.0,929.64,0.0,0.0,0.0,856.4879999999999,190.40620602248825,0.0,2534.92,1310.64,0.0,0.0,15.239999999999998,381.254,0.0,23.876,0.0,367.284,0.0,629.6659999999999,876.3,451.104
2017-07-09,101.87154314406637,12.034825686979673,0.0,0.0,0.0,0.0,0.0,121.92,0.0,0.0,0.0,0.0,0.0,0.0,1430.0199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23,240.82846481609343,809.7214792218633,107.95,289.814,112.776,381.0,0.0,408.94,0.0,0.0,48.768,493.776,206.3316842867906,13.382368818975564,1247.14,670.56,0.0,0.0,179.832,281.93999999999994,414.7819999999999,202.692,12.192,414.02,112.776,486.156,562.864,298.958
2018-06-01,71.48548880747862,40.828902502572205,0.0,34.798,0.0,24.70280657568656,0.0,168.148,0.0,0.0,0.0,0.0,0.0,0.0,568.9599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.128,0.0
2019-06-09,300.7247099460856,0.0,279.65399999999994,343.7329128575163,460.248,85.852,0.0,588.518,0.0,0.0,0.0,348.488,403.81188387608006,0.0,1986.28,978.408,0.0,0.0,37.084,829.8180000000001,507.238,74.67599999999999,0.0,186.436,0.0,963.168,708.66,370.078
2019-07-04,108.72833763241591,0.0,0.0,3.8044443905058642,0.0,0.0,0.0,59.182,0.0,0.0,0.0,0.0,0.0,0.0,1155.7,73.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-14,67.48655940425806,31.179215651146592,0.0,5.916926631812448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
